file,samples,groundtruth_drift_count,groundtruth_drift_times,detected_drift_events,pool_alive_snapshots,prequential_accuracy,model_type
recurring_sud_sea100k_g00.csv,20000,1,14476,5,3,0.9623232323232324,hf
recurring_sud_sea100k_g01.csv,20000,2,4631 13318,4,3,0.950959595959596,hf
recurring_sud_sea100k_g02.csv,20000,1,10693,8,4,0.9398989898989899,hf
recurring_sud_sea100k_g03.csv,20000,2,8454 19297,3,4,0.9620707070707071,hf
recurring_sud_sea100k_g04.csv,20000,1,18553,1,2,0.9608080808080808,hf
recurring_sud_sea100k_g05.csv,20000,2,9764 14788,2,3,0.9617171717171717,hf
recurring_sud_sea100k_g06.csv,20000,1,12981,6,5,0.9555050505050505,hf
recurring_sud_sea100k_g07.csv,20000,2,5095 14736,2,2,0.951060606060606,hf
recurring_sud_sea100k_g08.csv,20000,1,12151,2,3,0.972020202020202,hf
recurring_sud_sea100k_g09.csv,20000,1,7989,2,3,0.953939393939394,hf
